"TIME","GEO","PROJECTION","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2055","Slovakia","Baseline projections","Person","Total","Total","5 055 599",""
"2060","Austria","Baseline projections","Person","Total","Total","9 293 065",""
"2060","Belgium","Baseline projections","Person","Total","Total","11 865 788",""
"2060","Bulgaria","Baseline projections","Person","Total","Total","5 332 585",""
"2060","Switzerland","Baseline projections","Person","Total","Total","10 319 020",""
"2060","Cyprus","Baseline projections","Person","Total","Total","1 074 126",""
"2060","Czechia","Baseline projections","Person","Total","Total","10 414 088",""
"2060","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","81 842 817",""
"2060","Denmark","Baseline projections","Person","Total","Total","6 122 611",""
"2060","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","338 523 647",""
"2060","Estonia","Baseline projections","Person","Total","Total","1 224 839",""
"2060","Greece","Baseline projections","Person","Total","Total","9 038 456",""
"2060","Spain","Baseline projections","Person","Total","Total","48 385 094",""
"2060","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","432 474 413",""
"2060","Finland","Baseline projections","Person","Total","Total","5 150 584",""
"2060","France","Baseline projections","Person","Total","Total","69 680 713",""
"2060","Croatia","Baseline projections","Person","Total","Total","3 195 202",""
"2060","Hungary","Baseline projections","Person","Total","Total","9 117 095",""
"2060","Ireland","Baseline projections","Person","Total","Total","6 398 732",""
"2060","Iceland","Baseline projections","Person","Total","Total","519 819",""
"2060","Italy","Baseline projections","Person","Total","Total","55 989 561",""
"2060","Liechtenstein","Baseline projections","Person","Total","Total","44 184",""
"2060","Lithuania","Baseline projections","Person","Total","Total","1 959 630",""
"2060","Luxembourg","Baseline projections","Person","Total","Total","782 884",""
"2060","Latvia","Baseline projections","Person","Total","Total","1 275 102",""
"2060","Malta","Baseline projections","Person","Total","Total","693 613",""
"2060","Netherlands","Baseline projections","Person","Total","Total","18 014 595",""
"2060","Norway","Baseline projections","Person","Total","Total","6 544 661",""
"2060","Poland","Baseline projections","Person","Total","Total","32 519 968",""
"2060","Portugal","Baseline projections","Person","Total","Total","8 910 843",""
"2060","Romania","Baseline projections","Person","Total","Total","14 540 962",""
"2060","Sweden","Baseline projections","Person","Total","Total","12 708 255",""
"2060","Slovenia","Baseline projections","Person","Total","Total","1 989 404",""
"2060","Slovakia","Baseline projections","Person","Total","Total","4 953 801",""
"2065","Austria","Baseline projections","Person","Total","Total","9 262 385",""
"2065","Belgium","Baseline projections","Person","Total","Total","11 841 493",""
"2065","Bulgaria","Baseline projections","Person","Total","Total","5 182 122",""
"2065","Switzerland","Baseline projections","Person","Total","Total","10 497 572",""
"2065","Cyprus","Baseline projections","Person","Total","Total","1 087 160",""
"2065","Czechia","Baseline projections","Person","Total","Total","10 316 335",""
"2065","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","81 643 599",""
"2065","Denmark","Baseline projections","Person","Total","Total","6 135 199",""
"2065","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","335 589 050",""
"2065","Estonia","Baseline projections","Person","Total","Total","1 208 861",""
"2065","Greece","Baseline projections","Person","Total","Total","8 808 147",""
"2065","Spain","Baseline projections","Person","Total","Total","47 728 675",""
"2065","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","428 059 060",""
"2065","Finland","Baseline projections","Person","Total","Total","5 091 285",""
"2065","France","Baseline projections","Person","Total","Total","69 513 952",""
"2065","Croatia","Baseline projections","Person","Total","Total","3 110 857",""
"2065","Hungary","Baseline projections","Person","Total","Total","9 023 553",""
"2065","Ireland","Baseline projections","Person","Total","Total","6 455 703",""
"2065","Iceland","Baseline projections","Person","Total","Total","534 554",""
"2065","Italy","Baseline projections","Person","Total","Total","54 875 845",""
"2065","Liechtenstein","Baseline projections","Person","Total","Total","44 561",""
"2065","Lithuania","Baseline projections","Person","Total","Total","1 886 272",""
"2065","Luxembourg","Baseline projections","Person","Total","Total","785 866",""
"2065","Latvia","Baseline projections","Person","Total","Total","1 224 806",""
"2065","Malta","Baseline projections","Person","Total","Total","702 103",""
"2065","Netherlands","Baseline projections","Person","Total","Total","17 983 158",""
"2065","Norway","Baseline projections","Person","Total","Total","6 628 516",""
"2065","Poland","Baseline projections","Person","Total","Total","31 719 540",""
"2065","Portugal","Baseline projections","Person","Total","Total","8 686 117",""
"2065","Romania","Baseline projections","Person","Total","Total","14 089 550",""
"2065","Sweden","Baseline projections","Person","Total","Total","12 892 854",""
"2065","Slovenia","Baseline projections","Person","Total","Total","1 962 358",""
"2065","Slovakia","Baseline projections","Person","Total","Total","4 841 265",""
"2070","Austria","Baseline projections","Person","Total","Total","9 247 303",""
"2070","Belgium","Baseline projections","Person","Total","Total","11 833 541",""
"2070","Bulgaria","Baseline projections","Person","Total","Total","5 045 851",""
"2070","Switzerland","Baseline projections","Person","Total","Total","10 689 572",""
"2070","Cyprus","Baseline projections","Person","Total","Total","1 098 070",""
"2070","Czechia","Baseline projections","Person","Total","Total","10 213 463",""
"2070","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","81 695 911",""
"2070","Denmark","Baseline projections","Person","Total","Total","6 153 605",""
"2070","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","333 325 172",""
"2070","Estonia","Baseline projections","Person","Total","Total","1 193 810",""
"2070","Greece","Baseline projections","Person","Total","Total","8 603 587",""
"2070","Spain","Baseline projections","Person","Total","Total","47 104 113",""
"2070","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","424 343 512",""
"2070","Finland","Baseline projections","Person","Total","Total","5 037 579",""
"2070","France","Baseline projections","Person","Total","Total","69 429 375",""
"2070","Croatia","Baseline projections","Person","Total","Total","3 034 601",""
"2070","Hungary","Baseline projections","Person","Total","Total","8 926 914",""
"2070","Ireland","Baseline projections","Person","Total","Total","6 496 490",""
"2070","Iceland","Baseline projections","Person","Total","Total","548 624",""
"2070","Italy","Baseline projections","Person","Total","Total","53 951 155",""
"2070","Liechtenstein","Baseline projections","Person","Total","Total","45 020",""
"2070","Lithuania","Baseline projections","Person","Total","Total","1 825 897",""
"2070","Luxembourg","Baseline projections","Person","Total","Total","787 429",""
"2070","Latvia","Baseline projections","Person","Total","Total","1 181 968",""
"2070","Malta","Baseline projections","Person","Total","Total","706 915",""
"2070","Netherlands","Baseline projections","Person","Total","Total","17 988 244",""
"2070","Norway","Baseline projections","Person","Total","Total","6 709 767",""
"2070","Poland","Baseline projections","Person","Total","Total","30 890 756",""
"2070","Portugal","Baseline projections","Person","Total","Total","8 481 486",""
"2070","Romania","Baseline projections","Person","Total","Total","13 688 060",""
"2070","Sweden","Baseline projections","Person","Total","Total","13 065 090",""
"2070","Slovenia","Baseline projections","Person","Total","Total","1 938 253",""
"2070","Slovakia","Baseline projections","Person","Total","Total","4 724 046",""
"2075","Austria","Baseline projections","Person","Total","Total","9 241 159",""
"2075","Belgium","Baseline projections","Person","Total","Total","11 835 088",""
"2075","Bulgaria","Baseline projections","Person","Total","Total","4 930 919",""
"2075","Switzerland","Baseline projections","Person","Total","Total","10 891 742",""
"2075","Cyprus","Baseline projections","Person","Total","Total","1 105 861",""
"2075","Czechia","Baseline projections","Person","Total","Total","10 135 219",""
"2075","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","81 860 528",""
"2075","Denmark","Baseline projections","Person","Total","Total","6 176 011",""
"2075","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","331 746 604",""
"2075","Estonia","Baseline projections","Person","Total","Total","1 179 861",""
"2075","Greece","Baseline projections","Person","Total","Total","8 440 047",""
"2075","Spain","Baseline projections","Person","Total","Total","46 610 064",""
"2075","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","421 445 188",""
"2075","Finland","Baseline projections","Person","Total","Total","4 981 979",""
"2075","France","Baseline projections","Person","Total","Total","69 415 942",""
"2075","Croatia","Baseline projections","Person","Total","Total","2 966 083",""
"2075","Hungary","Baseline projections","Person","Total","Total","8 846 058",""
"2075","Ireland","Baseline projections","Person","Total","Total","6 527 024",""
"2075","Iceland","Baseline projections","Person","Total","Total","561 859",""
"2075","Italy","Baseline projections","Person","Total","Total","53 274 219",""
"2075","Liechtenstein","Baseline projections","Person","Total","Total","45 568",""
"2075","Lithuania","Baseline projections","Person","Total","Total","1 777 648",""
"2075","Luxembourg","Baseline projections","Person","Total","Total","787 829",""
"2075","Latvia","Baseline projections","Person","Total","Total","1 146 289",""
"2075","Malta","Baseline projections","Person","Total","Total","707 996",""
"2075","Netherlands","Baseline projections","Person","Total","Total","18 010 401",""
"2075","Norway","Baseline projections","Person","Total","Total","6 787 501",""
"2075","Poland","Baseline projections","Person","Total","Total","30 061 943",""
"2075","Portugal","Baseline projections","Person","Total","Total","8 314 061",""
"2075","Romania","Baseline projections","Person","Total","Total","13 359 773",""
"2075","Sweden","Baseline projections","Person","Total","Total","13 222 578",""
"2075","Slovenia","Baseline projections","Person","Total","Total","1 917 972",""
"2075","Slovakia","Baseline projections","Person","Total","Total","4 612 636",""
"2080","Austria","Baseline projections","Person","Total","Total","9 233 330",""
"2080","Belgium","Baseline projections","Person","Total","Total","11 836 508",""
"2080","Bulgaria","Baseline projections","Person","Total","Total","4 841 511",""
"2080","Switzerland","Baseline projections","Person","Total","Total","11 099 320",""
"2080","Cyprus","Baseline projections","Person","Total","Total","1 110 467",""
"2080","Czechia","Baseline projections","Person","Total","Total","10 096 616",""
"2080","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","82 024 654",""
"2080","Denmark","Baseline projections","Person","Total","Total","6 197 237",""
"2080","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","330 669 667",""
"2080","Estonia","Baseline projections","Person","Total","Total","1 166 985",""
"2080","Greece","Baseline projections","Person","Total","Total","8 323 658",""
"2080","Spain","Baseline projections","Person","Total","Total","46 298 547",""
"2080","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","419 259 692",""
"2080","Finland","Baseline projections","Person","Total","Total","4 921 741",""
"2080","France","Baseline projections","Person","Total","Total","69 424 614",""
"2080","Croatia","Baseline projections","Person","Total","Total","2 906 946",""
"2080","Hungary","Baseline projections","Person","Total","Total","8 788 851",""
"2080","Ireland","Baseline projections","Person","Total","Total","6 553 563",""
"2080","Iceland","Baseline projections","Person","Total","Total","574 279",""
"2080","Italy","Baseline projections","Person","Total","Total","52 793 198",""
"2080","Liechtenstein","Baseline projections","Person","Total","Total","46 177",""
"2080","Lithuania","Baseline projections","Person","Total","Total","1 738 949",""
"2080","Luxembourg","Baseline projections","Person","Total","Total","787 026",""
"2080","Latvia","Baseline projections","Person","Total","Total","1 117 481",""
"2080","Malta","Baseline projections","Person","Total","Total","705 925",""
"2080","Netherlands","Baseline projections","Person","Total","Total","18 020 249",""
"2080","Norway","Baseline projections","Person","Total","Total","6 855 562",""
"2080","Poland","Baseline projections","Person","Total","Total","29 295 630",""
"2080","Portugal","Baseline projections","Person","Total","Total","8 193 261",""
"2080","Romania","Baseline projections","Person","Total","Total","13 110 335",""
"2080","Sweden","Baseline projections","Person","Total","Total","13 352 899",""
"2080","Slovenia","Baseline projections","Person","Total","Total","1 902 751",""
"2080","Slovakia","Baseline projections","Person","Total","Total","4 516 760",""
"2085","Austria","Baseline projections","Person","Total","Total","9 223 934",""
"2085","Belgium","Baseline projections","Person","Total","Total","11 835 842",""
"2085","Bulgaria","Baseline projections","Person","Total","Total","4 780 227",""
"2085","Switzerland","Baseline projections","Person","Total","Total","11 314 715",""
"2085","Cyprus","Baseline projections","Person","Total","Total","1 112 719",""
"2085","Czechia","Baseline projections","Person","Total","Total","10 092 102",""
"2085","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","82 206 988",""
"2085","Denmark","Baseline projections","Person","Total","Total","6 211 904",""
"2085","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","329 951 001",""
"2085","Estonia","Baseline projections","Person","Total","Total","1 156 184",""
"2085","Greece","Baseline projections","Person","Total","Total","8 247 927",""
"2085","Spain","Baseline projections","Person","Total","Total","46 133 205",""
"2085","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","417 692 131",""
"2085","Finland","Baseline projections","Person","Total","Total","4 860 383",""
"2085","France","Baseline projections","Person","Total","Total","69 444 994",""
"2085","Croatia","Baseline projections","Person","Total","Total","2 858 581",""
"2085","Hungary","Baseline projections","Person","Total","Total","8 750 117",""
"2085","Ireland","Baseline projections","Person","Total","Total","6 578 345",""
"2085","Iceland","Baseline projections","Person","Total","Total","586 186",""
"2085","Italy","Baseline projections","Person","Total","Total","52 402 869",""
"2085","Liechtenstein","Baseline projections","Person","Total","Total","46 833",""
"2085","Lithuania","Baseline projections","Person","Total","Total","1 708 535",""
"2085","Luxembourg","Baseline projections","Person","Total","Total","785 407",""
"2085","Latvia","Baseline projections","Person","Total","Total","1 096 480",""
"2085","Malta","Baseline projections","Person","Total","Total","701 660",""
"2085","Netherlands","Baseline projections","Person","Total","Total","18 009 343",""
"2085","Norway","Baseline projections","Person","Total","Total","6 911 209",""
"2085","Poland","Baseline projections","Person","Total","Total","28 657 545",""
"2085","Portugal","Baseline projections","Person","Total","Total","8 110 422",""
"2085","Romania","Baseline projections","Person","Total","Total","12 939 780",""
"2085","Sweden","Baseline projections","Person","Total","Total","13 450 874",""
"2085","Slovenia","Baseline projections","Person","Total","Total","1 893 268",""
"2085","Slovakia","Baseline projections","Person","Total","Total","4 442 496",""
"2090","Austria","Baseline projections","Person","Total","Total","9 219 300",""
"2090","Belgium","Baseline projections","Person","Total","Total","11 836 801",""
"2090","Bulgaria","Baseline projections","Person","Total","Total","4 748 136",""
"2090","Switzerland","Baseline projections","Person","Total","Total","11 542 881",""
"2090","Cyprus","Baseline projections","Person","Total","Total","1 114 031",""
"2090","Czechia","Baseline projections","Person","Total","Total","10 115 533",""
"2090","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","82 460 551",""
"2090","Denmark","Baseline projections","Person","Total","Total","6 221 306",""
"2090","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","329 523 283",""
"2090","Estonia","Baseline projections","Person","Total","Total","1 149 320",""
"2090","Greece","Baseline projections","Person","Total","Total","8 198 911",""
"2090","Spain","Baseline projections","Person","Total","Total","46 026 075",""
"2090","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","416 706 966",""
"2090","Finland","Baseline projections","Person","Total","Total","4 803 256",""
"2090","France","Baseline projections","Person","Total","Total","69 501 144",""
"2090","Croatia","Baseline projections","Person","Total","Total","2 820 808",""
"2090","Hungary","Baseline projections","Person","Total","Total","8 724 890",""
"2090","Ireland","Baseline projections","Person","Total","Total","6 598 023",""
"2090","Iceland","Baseline projections","Person","Total","Total","598 061",""
"2090","Italy","Baseline projections","Person","Total","Total","52 042 682",""
"2090","Liechtenstein","Baseline projections","Person","Total","Total","47 576",""
"2090","Lithuania","Baseline projections","Person","Total","Total","1 688 303",""
"2090","Luxembourg","Baseline projections","Person","Total","Total","783 653",""
"2090","Latvia","Baseline projections","Person","Total","Total","1 084 591",""
"2090","Malta","Baseline projections","Person","Total","Total","696 817",""
"2090","Netherlands","Baseline projections","Person","Total","Total","17 988 115",""
"2090","Norway","Baseline projections","Person","Total","Total","6 958 409",""
"2090","Poland","Baseline projections","Person","Total","Total","28 185 373",""
"2090","Portugal","Baseline projections","Person","Total","Total","8 050 731",""
"2090","Romania","Baseline projections","Person","Total","Total","12 838 968",""
"2090","Sweden","Baseline projections","Person","Total","Total","13 528 669",""
"2090","Slovenia","Baseline projections","Person","Total","Total","1 889 004",""
"2090","Slovakia","Baseline projections","Person","Total","Total","4 391 975",""
"2095","Austria","Baseline projections","Person","Total","Total","9 224 015",""
"2095","Belgium","Baseline projections","Person","Total","Total","11 843 931",""
"2095","Bulgaria","Baseline projections","Person","Total","Total","4 738 465",""
"2095","Switzerland","Baseline projections","Person","Total","Total","11 786 166",""
"2095","Cyprus","Baseline projections","Person","Total","Total","1 115 712",""
"2095","Czechia","Baseline projections","Person","Total","Total","10 159 885",""
"2095","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","82 802 989",""
"2095","Denmark","Baseline projections","Person","Total","Total","6 232 099",""
"2095","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","329 334 845",""
"2095","Estonia","Baseline projections","Person","Total","Total","1 146 523",""
"2095","Greece","Baseline projections","Person","Total","Total","8 165 189",""
"2095","Spain","Baseline projections","Person","Total","Total","45 917 623",""
"2095","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","416 232 826",""
"2095","Finland","Baseline projections","Person","Total","Total","4 755 036",""
"2095","France","Baseline projections","Person","Total","Total","69 582 477",""
"2095","Croatia","Baseline projections","Person","Total","Total","2 793 176",""
"2095","Hungary","Baseline projections","Person","Total","Total","8 713 625",""
"2095","Ireland","Baseline projections","Person","Total","Total","6 608 821",""
"2095","Iceland","Baseline projections","Person","Total","Total","610 441",""
"2095","Italy","Baseline projections","Person","Total","Total","51 708 538",""
"2095","Liechtenstein","Baseline projections","Person","Total","Total","48 428",""
"2095","Lithuania","Baseline projections","Person","Total","Total","1 679 531",""
"2095","Luxembourg","Baseline projections","Person","Total","Total","782 306",""
"2095","Latvia","Baseline projections","Person","Total","Total","1 080 838",""
"2095","Malta","Baseline projections","Person","Total","Total","692 702",""
"2095","Netherlands","Baseline projections","Person","Total","Total","17 971 254",""
"2095","Norway","Baseline projections","Person","Total","Total","7 003 014",""
"2095","Poland","Baseline projections","Person","Total","Total","27 868 033",""
"2095","Portugal","Baseline projections","Person","Total","Total","8 006 774",""
"2095","Romania","Baseline projections","Person","Total","Total","12 792 287",""
"2095","Sweden","Baseline projections","Person","Total","Total","13 600 411",""
"2095","Slovenia","Baseline projections","Person","Total","Total","1 888 128",""
"2095","Slovakia","Baseline projections","Person","Total","Total","4 362 458",""
"2100","Austria","Baseline projections","Person","Total","Total","9 236 567",""
"2100","Belgium","Baseline projections","Person","Total","Total","11 854 389",""
"2100","Bulgaria","Baseline projections","Person","Total","Total","4 737 768",""
"2100","Switzerland","Baseline projections","Person","Total","Total","12 042 334",""
"2100","Cyprus","Baseline projections","Person","Total","Total","1 118 198",""
"2100","Czechia","Baseline projections","Person","Total","Total","10 207 345",""
"2100","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","83 201 514",""
"2100","Denmark","Baseline projections","Person","Total","Total","6 247 128",""
"2100","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","329 296 447",""
"2100","Estonia","Baseline projections","Person","Total","Total","1 145 053",""
"2100","Greece","Baseline projections","Person","Total","Total","8 142 699",""
"2100","Spain","Baseline projections","Person","Total","Total","45 789 061",""
"2100","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","416 074 441",""
"2100","Finland","Baseline projections","Person","Total","Total","4 715 868",""
"2100","France","Baseline projections","Person","Total","Total","69 651 714",""
"2100","Croatia","Baseline projections","Person","Total","Total","2 775 929",""
"2100","Hungary","Baseline projections","Person","Total","Total","8 714 260",""
"2100","Ireland","Baseline projections","Person","Total","Total","6 610 753",""
"2100","Iceland","Baseline projections","Person","Total","Total","623 468",""
"2100","Italy","Baseline projections","Person","Total","Total","51 415 877",""
"2100","Liechtenstein","Baseline projections","Person","Total","Total","49 376",""
"2100","Lithuania","Baseline projections","Person","Total","Total","1 680 055",""
"2100","Luxembourg","Baseline projections","Person","Total","Total","781 193",""
"2100","Latvia","Baseline projections","Person","Total","Total","1 081 686",""
"2100","Malta","Baseline projections","Person","Total","Total","689 359",""
"2100","Netherlands","Baseline projections","Person","Total","Total","17 967 454",""
"2100","Norway","Baseline projections","Person","Total","Total","7 046 899",""
"2100","Poland","Baseline projections","Person","Total","Total","27 655 094",""
"2100","Portugal","Baseline projections","Person","Total","Total","7 980 639",""
"2100","Romania","Baseline projections","Person","Total","Total","12 780 621",""
"2100","Sweden","Baseline projections","Person","Total","Total","13 659 849",""
"2100","Slovenia","Baseline projections","Person","Total","Total","1 888 364",""
"2100","Slovakia","Baseline projections","Person","Total","Total","4 346 004",""
