"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"1960","Belgium","Total","Total","Number","9 128 824",""
"1960","Belgium","Less than 15 years","Total","Number","2 135 303",""
"1960","Belgium","65 years or over","Total","Number","1 091 374",""
"1960","Bulgaria","Total","Total","Number","7 829 246",""
"1960","Bulgaria","Less than 15 years","Total","Number","2 048 327",""
"1960","Bulgaria","65 years or over","Total","Number","582 802",""
"1960","Czechia","Total","Total","Number","9 637 840",""
"1960","Czechia","Less than 15 years","Total","Number","2 469 772",""
"1960","Czechia","65 years or over","Total","Number","913 614",""
"1960","Denmark","Total","Total","Number","4 565 455",""
"1960","Denmark","Less than 15 years","Total","Number","1 162 627",""
"1960","Denmark","65 years or over","Total","Number","479 473",""
"1960","Germany including former GDR","Total","Total","Number","72 542 990",""
"1960","Germany including former GDR","Less than 15 years","Total","Number","15 249 940",""
"1960","Germany including former GDR","65 years or over","Total","Number","8 308 238",""
"1960","Estonia","Total","Total","Number","1 206 362",""
"1960","Estonia","Less than 15 years","Total","Number","276 150",""
"1960","Estonia","65 years or over","Total","Number","126 950",""
"1960","Ireland","Total","Total","Number","2 835 500",""
"1960","Ireland","Less than 15 years","Total","Number","875 100",""
"1960","Ireland","65 years or over","Total","Number","315 300",""
"1960","Greece","Total","Total","Number","8 300 399",""
"1960","Greece","Less than 15 years","Total","Number","2 057 585",""
"1960","Greece","65 years or over","Total","Number","776 131",""
"1960","Spain","Total","Total","Number","30 327 000",""
"1960","Spain","Less than 15 years","Total","Number","8 322 237",""
"1960","Spain","65 years or over","Total","Number","2 486 799",""
"1960","France","Total","Total","Number",":",""
"1960","France","Less than 15 years","Total","Number",":",""
"1960","France","65 years or over","Total","Number",":",""
"1960","Croatia","Total","Total","Number","4 127 422",""
"1960","Croatia","Less than 15 years","Total","Number",":",""
"1960","Croatia","65 years or over","Total","Number",":",""
"1960","Italy","Total","Total","Number","50 025 500",""
"1960","Italy","Less than 15 years","Total","Number","12 366 700",""
"1960","Italy","65 years or over","Total","Number","4 631 100",""
"1960","Cyprus","Total","Total","Number","572 000",""
"1960","Cyprus","Less than 15 years","Total","Number",":",""
"1960","Cyprus","65 years or over","Total","Number",":",""
"1960","Latvia","Total","Total","Number","2 104 128",""
"1960","Latvia","Less than 15 years","Total","Number",":",""
"1960","Latvia","65 years or over","Total","Number",":",""
"1960","Lithuania","Total","Total","Number","2 755 600",""
"1960","Lithuania","Less than 15 years","Total","Number",":",""
"1960","Lithuania","65 years or over","Total","Number",":",""
"1960","Luxembourg","Total","Total","Number","313 050",""
"1960","Luxembourg","Less than 15 years","Total","Number","66 863",""
"1960","Luxembourg","65 years or over","Total","Number","33 760",""
"1960","Hungary","Total","Total","Number","9 961 044",""
"1960","Hungary","Less than 15 years","Total","Number","2 529 453",""
"1960","Hungary","65 years or over","Total","Number","890 261",""
"1960","Malta","Total","Total","Number","327 200",""
"1960","Malta","Less than 15 years","Total","Number",":",""
"1960","Malta","65 years or over","Total","Number",":",""
"1960","Netherlands","Total","Total","Number","11 417 254",""
"1960","Netherlands","Less than 15 years","Total","Number","3 423 845",""
"1960","Netherlands","65 years or over","Total","Number","1 018 822",""
"1960","Austria","Total","Total","Number","7 030 385",""
"1960","Austria","Less than 15 years","Total","Number","1 533 943",""
"1960","Austria","65 years or over","Total","Number","853 726",""
"1960","Poland","Total","Total","Number","29 479 900",""
"1960","Poland","Less than 15 years","Total","Number","9 798 300",""
"1960","Poland","65 years or over","Total","Number","1 705 600",""
"1960","Portugal","Total","Total","Number","8 826 040",""
"1960","Portugal","Less than 15 years","Total","Number","2 592 890",""
"1960","Portugal","65 years or over","Total","Number","689 420",""
"1960","Romania","Total","Total","Number","18 319 210",""
"1960","Romania","Less than 15 years","Total","Number",":",""
"1960","Romania","65 years or over","Total","Number",":",""
"1960","Slovenia","Total","Total","Number","1 580 535",""
"1960","Slovenia","Less than 15 years","Total","Number",":",""
"1960","Slovenia","65 years or over","Total","Number",":",""
"1960","Slovakia","Total","Total","Number","3 969 682",""
"1960","Slovakia","Less than 15 years","Total","Number","1 250 942",""
"1960","Slovakia","65 years or over","Total","Number","270 610",""
"1960","Finland","Total","Total","Number","4 413 046",""
"1960","Finland","Less than 15 years","Total","Number","1 353 438",""
"1960","Finland","65 years or over","Total","Number","319 193",""
"1960","Sweden","Total","Total","Number","7 471 345",""
"1960","Sweden","Less than 15 years","Total","Number","1 693 908",""
"1960","Sweden","65 years or over","Total","Number","870 974",""
"1960","Iceland","Total","Total","Number","173 855",""
"1960","Iceland","Less than 15 years","Total","Number","60 540",""
"1960","Iceland","65 years or over","Total","Number","13 930",""
"1960","Liechtenstein","Total","Total","Number","16 274",""
"1960","Liechtenstein","Less than 15 years","Total","Number","4 633",""
"1960","Liechtenstein","65 years or over","Total","Number","1 272",""
"1960","Norway","Total","Total","Number","3 567 707",""
"1960","Norway","Less than 15 years","Total","Number","929 307",""
"1960","Norway","65 years or over","Total","Number","389 669",""
"1960","Switzerland","Total","Total","Number","5 295 500",""
"1960","Switzerland","Less than 15 years","Total","Number","1 278 800",""
"1960","Switzerland","65 years or over","Total","Number","538 800",""
"1960","United Kingdom","Total","Total","Number","52 200 000",""
"1960","United Kingdom","Less than 15 years","Total","Number","12 100 000",""
"1960","United Kingdom","65 years or over","Total","Number","6 100 000",""
"1960","Montenegro","Total","Total","Number",":",""
"1960","Montenegro","Less than 15 years","Total","Number",":",""
"1960","Montenegro","65 years or over","Total","Number",":",""
"1960","North Macedonia","Total","Total","Number","1 384 451",""
"1960","North Macedonia","Less than 15 years","Total","Number",":",""
"1960","North Macedonia","65 years or over","Total","Number",":",""
"1960","Albania","Total","Total","Number","1 583 800",""
"1960","Albania","Less than 15 years","Total","Number",":",""
"1960","Albania","65 years or over","Total","Number",":",""
"1960","Serbia","Total","Total","Number",":",""
"1960","Serbia","Less than 15 years","Total","Number",":",""
"1960","Serbia","65 years or over","Total","Number",":",""
"1960","Turkey","Total","Total","Number","27 119 962",""
"1960","Turkey","Less than 15 years","Total","Number","11 185 600",""
"1960","Turkey","65 years or over","Total","Number","958 148",""
"1960","Andorra","Total","Total","Number",":",""
"1960","Andorra","Less than 15 years","Total","Number",":",""
"1960","Andorra","65 years or over","Total","Number",":",""
"1960","Belarus","Total","Total","Number",":",""
"1960","Belarus","Less than 15 years","Total","Number",":",""
"1960","Belarus","65 years or over","Total","Number",":",""
"1960","Bosnia and Herzegovina","Total","Total","Number","3 212 349",""
"1960","Bosnia and Herzegovina","Less than 15 years","Total","Number",":",""
"1960","Bosnia and Herzegovina","65 years or over","Total","Number",":",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Less than 15 years","Total","Number",":",""
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","65 years or over","Total","Number",":",""
"1960","Moldova","Total","Total","Number",":",""
"1960","Moldova","Less than 15 years","Total","Number",":",""
"1960","Moldova","65 years or over","Total","Number",":",""
"1960","Monaco","Total","Total","Number",":",""
"1960","Monaco","Less than 15 years","Total","Number",":",""
"1960","Monaco","65 years or over","Total","Number",":",""
"1960","Russia","Total","Total","Number",":",""
"1960","Russia","Less than 15 years","Total","Number",":",""
"1960","Russia","65 years or over","Total","Number",":",""
"1960","San Marino","Total","Total","Number",":",""
"1960","San Marino","Less than 15 years","Total","Number",":",""
"1960","San Marino","65 years or over","Total","Number",":",""
"1960","Ukraine","Total","Total","Number",":",""
"1960","Ukraine","Less than 15 years","Total","Number",":",""
"1960","Ukraine","65 years or over","Total","Number",":",""
"1960","Armenia","Total","Total","Number",":",""
"1960","Armenia","Less than 15 years","Total","Number",":",""
"1960","Armenia","65 years or over","Total","Number",":",""
"1960","Azerbaijan","Total","Total","Number",":",""
"1960","Azerbaijan","Less than 15 years","Total","Number",":",""
"1960","Azerbaijan","65 years or over","Total","Number",":",""
"1960","Georgia","Total","Total","Number",":",""
"1960","Georgia","Less than 15 years","Total","Number",":",""
"1960","Georgia","65 years or over","Total","Number",":",""
"1970","Belgium","Total","Total","Number","9 660 154",""
"1970","Belgium","Less than 15 years","Total","Number","2 282 916",""
"1970","Belgium","65 years or over","Total","Number","1 288 936",""
"1970","Bulgaria","Total","Total","Number","8 464 264",""
"1970","Bulgaria","Less than 15 years","Total","Number","1 941 242",""
"1970","Bulgaria","65 years or over","Total","Number","799 727",""
"1970","Czechia","Total","Total","Number","9 906 474",""
"1970","Czechia","Less than 15 years","Total","Number","2 115 048",""
"1970","Czechia","65 years or over","Total","Number","1 183 011",""
"1970","Denmark","Total","Total","Number","4 906 916",""
"1970","Denmark","Less than 15 years","Total","Number","1 149 608",""
"1970","Denmark","65 years or over","Total","Number","597 738",""
"1970","Germany including former GDR","Total","Total","Number","78 269 095",""
"1970","Germany including former GDR","Less than 15 years","Total","Number","18 199 688",""
"1970","Germany including former GDR","65 years or over","Total","Number","10 585 440",""
"1970","Estonia","Total","Total","Number","1 351 640",""
"1970","Estonia","Less than 15 years","Total","Number","298 293",""
"1970","Estonia","65 years or over","Total","Number","157 840",""
"1970","Ireland","Total","Total","Number","2 943 300",""
"1970","Ireland","Less than 15 years","Total","Number","919 100",""
"1970","Ireland","65 years or over","Total","Number","327 800",""
"1970","Greece","Total","Total","Number","8 780 514",""
"1970","Greece","Less than 15 years","Total","Number","2 127 433",""
"1970","Greece","65 years or over","Total","Number","974 365",""
"1970","Spain","Total","Total","Number","33 587 610",""
"1970","Spain","Less than 15 years","Total","Number","9 315 415",""
"1970","Spain","65 years or over","Total","Number","3 200 856",""
"1970","France","Total","Total","Number",":",""
"1970","France","Less than 15 years","Total","Number",":",""
"1970","France","65 years or over","Total","Number",":",""
"1970","Croatia","Total","Total","Number","4 403 352",""
"1970","Croatia","Less than 15 years","Total","Number",":",""
"1970","Croatia","65 years or over","Total","Number",":",""
"1970","Italy","Total","Total","Number","53 685 300",""
"1970","Italy","Less than 15 years","Total","Number","13 204 700",""
"1970","Italy","65 years or over","Total","Number","5 782 000",""
"1970","Cyprus","Total","Total","Number","612 000",""
"1970","Cyprus","Less than 15 years","Total","Number",":",""
"1970","Cyprus","65 years or over","Total","Number",":",""
"1970","Latvia","Total","Total","Number","2 351 903",""
"1970","Latvia","Less than 15 years","Total","Number","511 454",""
"1970","Latvia","65 years or over","Total","Number","280 849",""
"1970","Lithuania","Total","Total","Number","3 118 941",""
"1970","Lithuania","Less than 15 years","Total","Number","846 973",""
"1970","Lithuania","65 years or over","Total","Number","311 248",""
"1970","Luxembourg","Total","Total","Number","338 507",""
"1970","Luxembourg","Less than 15 years","Total","Number","74 935",""
"1970","Luxembourg","65 years or over","Total","Number","42 190",""
"1970","Hungary","Total","Total","Number","10 322 099",""
"1970","Hungary","Less than 15 years","Total","Number","2 176 507",""
"1970","Hungary","65 years or over","Total","Number","1 184 498",""
"1970","Malta","Total","Total","Number","302 500",""
"1970","Malta","Less than 15 years","Total","Number",":",""
"1970","Malta","65 years or over","Total","Number",":",""
"1970","Netherlands","Total","Total","Number","12 957 621",""
"1970","Netherlands","Less than 15 years","Total","Number","3 548 951",""
"1970","Netherlands","65 years or over","Total","Number","1 310 975",""
"1970","Austria","Total","Total","Number","7 455 142",""
"1970","Austria","Less than 15 years","Total","Number","1 816 090",""
"1970","Austria","65 years or over","Total","Number","1 044 133",""
"1970","Poland","Total","Total","Number","32 670 600",""
"1970","Poland","Less than 15 years","Total","Number","8 877 500",""
"1970","Poland","65 years or over","Total","Number","2 670 400",""
"1970","Portugal","Total","Total","Number","8 697 610",""
"1970","Portugal","Less than 15 years","Total","Number","2 519 270",""
"1970","Portugal","65 years or over","Total","Number","799 990",""
"1970","Romania","Total","Total","Number","20 139 603",""
"1970","Romania","Less than 15 years","Total","Number","5 242 358",""
"1970","Romania","65 years or over","Total","Number","1 719 369",""
"1970","Slovenia","Total","Total","Number","1 717 995",""
"1970","Slovenia","Less than 15 years","Total","Number",":",""
"1970","Slovenia","65 years or over","Total","Number",":",""
"1970","Slovakia","Total","Total","Number","4 536 555",""
"1970","Slovakia","Less than 15 years","Total","Number","1 248 399",""
"1970","Slovakia","65 years or over","Total","Number","412 764",""
"1970","Finland","Total","Total","Number","4 614 277",""
"1970","Finland","Less than 15 years","Total","Number","1 149 476",""
"1970","Finland","65 years or over","Total","Number","415 500",""
"1970","Sweden","Total","Total","Number","8 004 371",""
"1970","Sweden","Less than 15 years","Total","Number","1 670 852",""
"1970","Sweden","65 years or over","Total","Number","1 085 580",""
"1970","Iceland","Total","Total","Number","204 042",""
"1970","Iceland","Less than 15 years","Total","Number","67 130",""
"1970","Iceland","65 years or over","Total","Number","17 861",""
"1970","Liechtenstein","Total","Total","Number","20 930",""
"1970","Liechtenstein","Less than 15 years","Total","Number",":",""
"1970","Liechtenstein","65 years or over","Total","Number",":",""
"1970","Norway","Total","Total","Number","3 863 221",""
"1970","Norway","Less than 15 years","Total","Number","947 758",""
"1970","Norway","65 years or over","Total","Number","494 277",""
"1970","Switzerland","Total","Total","Number","6 168 700",""
"1970","Switzerland","Less than 15 years","Total","Number","1 464 004",""
"1970","Switzerland","65 years or over","Total","Number","692 813",""
"1970","United Kingdom","Total","Total","Number","55 546 400",""
"1970","United Kingdom","Less than 15 years","Total","Number","13 364 800",""
"1970","United Kingdom","65 years or over","Total","Number","7 186 100",""
"1970","Montenegro","Total","Total","Number",":",""
"1970","Montenegro","Less than 15 years","Total","Number",":",""
"1970","Montenegro","65 years or over","Total","Number",":",""
"1970","North Macedonia","Total","Total","Number","1 616 769",""
"1970","North Macedonia","Less than 15 years","Total","Number",":",""
"1970","North Macedonia","65 years or over","Total","Number",":",""
"1970","Albania","Total","Total","Number","2 110 612",""
"1970","Albania","Less than 15 years","Total","Number",":",""
"1970","Albania","65 years or over","Total","Number",":",""
"1970","Serbia","Total","Total","Number",":",""
"1970","Serbia","Less than 15 years","Total","Number",":",""
"1970","Serbia","65 years or over","Total","Number",":",""
"1970","Turkey","Total","Total","Number","34 880 611",""
"1970","Turkey","Less than 15 years","Total","Number","14 579 256",""
"1970","Turkey","65 years or over","Total","Number","1 534 008",""
"1970","Andorra","Total","Total","Number",":",""
"1970","Andorra","Less than 15 years","Total","Number",":",""
"1970","Andorra","65 years or over","Total","Number",":",""
"1970","Belarus","Total","Total","Number",":",""
"1970","Belarus","Less than 15 years","Total","Number",":",""
"1970","Belarus","65 years or over","Total","Number",":",""
"1970","Bosnia and Herzegovina","Total","Total","Number","3 685 694",""
"1970","Bosnia and Herzegovina","Less than 15 years","Total","Number",":",""
"1970","Bosnia and Herzegovina","65 years or over","Total","Number",":",""
"1970","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":",""
"1970","Kosovo (under United Nations Security Council Resolution 1244/99)","Less than 15 years","Total","Number",":",""
"1970","Kosovo (under United Nations Security Council Resolution 1244/99)","65 years or over","Total","Number",":",""
"1970","Moldova","Total","Total","Number",":",""
"1970","Moldova","Less than 15 years","Total","Number",":",""
"1970","Moldova","65 years or over","Total","Number",":",""
"1970","Monaco","Total","Total","Number",":",""
"1970","Monaco","Less than 15 years","Total","Number",":",""
"1970","Monaco","65 years or over","Total","Number",":",""
"1970","Russia","Total","Total","Number",":",""
"1970","Russia","Less than 15 years","Total","Number",":",""
"1970","Russia","65 years or over","Total","Number",":",""
"1970","San Marino","Total","Total","Number",":",""
"1970","San Marino","Less than 15 years","Total","Number",":",""
"1970","San Marino","65 years or over","Total","Number",":",""
"1970","Ukraine","Total","Total","Number",":",""
"1970","Ukraine","Less than 15 years","Total","Number",":",""
"1970","Ukraine","65 years or over","Total","Number",":",""
"1970","Armenia","Total","Total","Number",":",""
"1970","Armenia","Less than 15 years","Total","Number",":",""
"1970","Armenia","65 years or over","Total","Number",":",""
"1970","Azerbaijan","Total","Total","Number",":",""
"1970","Azerbaijan","Less than 15 years","Total","Number",":",""
"1970","Azerbaijan","65 years or over","Total","Number",":",""
"1970","Georgia","Total","Total","Number",":",""
"1970","Georgia","Less than 15 years","Total","Number",":",""
"1970","Georgia","65 years or over","Total","Number",":",""
"1980","Belgium","Total","Total","Number","9 855 110",""
"1980","Belgium","Less than 15 years","Total","Number","1 998 843",""
"1980","Belgium","65 years or over","Total","Number","1 410 115",""
"1980","Bulgaria","Total","Total","Number","8 846 417",""
"1980","Bulgaria","Less than 15 years","Total","Number","1 959 681",""
"1980","Bulgaria","65 years or over","Total","Number","1 040 425",""
"1980","Czechia","Total","Total","Number","10 315 669",""
"1980","Czechia","Less than 15 years","Total","Number","2 407 530",""
"1980","Czechia","65 years or over","Total","Number","1 403 411",""
"1980","Denmark","Total","Total","Number","5 122 065",""
"1980","Denmark","Less than 15 years","Total","Number","1 081 431",""
"1980","Denmark","65 years or over","Total","Number","734 737",""
"1980","Germany including former GDR","Total","Total","Number","78 179 662",""
"1980","Germany including former GDR","Less than 15 years","Total","Number","14 667 785",""
"1980","Germany including former GDR","65 years or over","Total","Number","12 264 983",""
"1980","Estonia","Total","Total","Number","1 472 190",""
"1980","Estonia","Less than 15 years","Total","Number","317 838",""
"1980","Estonia","65 years or over","Total","Number","184 592",""
"1980","Ireland","Total","Total","Number","3 392 800",""
"1980","Ireland","Less than 15 years","Total","Number","1 034 089",""
"1980","Ireland","65 years or over","Total","Number","363 734",""
"1980","Greece","Total","Total","Number","9 584 184",""
"1980","Greece","Less than 15 years","Total","Number","2 212 556",""
"1980","Greece","65 years or over","Total","Number","1 256 762",""
"1980","Spain","Total","Total","Number","37 346 940",""
"1980","Spain","Less than 15 years","Total","Number","9 778 853",""
"1980","Spain","65 years or over","Total","Number","4 128 274",""
"1980","France","Total","Total","Number",":",""
"1980","France","Less than 15 years","Total","Number",":",""
"1980","France","65 years or over","Total","Number",":",""
"1980","Croatia","Total","Total","Number","4 598 095",""
"1980","Croatia","Less than 15 years","Total","Number",":",""
"1980","Croatia","65 years or over","Total","Number",":",""
"1980","Italy","Total","Total","Number","56 388 480",""
"1980","Italy","Less than 15 years","Total","Number","12 725 291",""
"1980","Italy","65 years or over","Total","Number","7 366 042",""
"1980","Cyprus","Total","Total","Number","505 800",""
"1980","Cyprus","Less than 15 years","Total","Number",":",""
"1980","Cyprus","65 years or over","Total","Number",":",""
"1980","Latvia","Total","Total","Number","2 508 761",""
"1980","Latvia","Less than 15 years","Total","Number","512 659",""
"1980","Latvia","65 years or over","Total","Number","326 938",""
"1980","Lithuania","Total","Total","Number","3 404 194",""
"1980","Lithuania","Less than 15 years","Total","Number","801 943",""
"1980","Lithuania","65 years or over","Total","Number","385 495",""
"1980","Luxembourg","Total","Total","Number","363 450",""
"1980","Luxembourg","Less than 15 years","Total","Number","68 887",""
"1980","Luxembourg","65 years or over","Total","Number","49 625",""
"1980","Hungary","Total","Total","Number","10 709 463",""
"1980","Hungary","Less than 15 years","Total","Number","2 341 173",""
"1980","Hungary","65 years or over","Total","Number","1 449 446",""
"1980","Malta","Total","Total","Number","315 262",""
"1980","Malta","Less than 15 years","Total","Number","76 596",""
"1980","Malta","65 years or over","Total","Number","26 506",""
"1980","Netherlands","Total","Total","Number","14 091 014",""
"1980","Netherlands","Less than 15 years","Total","Number","3 184 120",""
"1980","Netherlands","65 years or over","Total","Number","1 615 324",""
"1980","Austria","Total","Total","Number","7 545 539",""
"1980","Austria","Less than 15 years","Total","Number","1 558 673",""
"1980","Austria","65 years or over","Total","Number","1 169 722",""
"1980","Poland","Total","Total","Number","35 413 434",""
"1980","Poland","Less than 15 years","Total","Number","8 549 596",""
"1980","Poland","65 years or over","Total","Number","3 610 334",""
"1980","Portugal","Total","Total","Number","9 713 570",""
"1980","Portugal","Less than 15 years","Total","Number","2 534 050",""
"1980","Portugal","65 years or over","Total","Number","1 085 480",""
"1980","Romania","Total","Total","Number","22 132 670",""
"1980","Romania","Less than 15 years","Total","Number","5 882 941",""
"1980","Romania","65 years or over","Total","Number","2 278 229",""
"1980","Slovenia","Total","Total","Number","1 893 064",""
"1980","Slovenia","Less than 15 years","Total","Number",":",""
"1980","Slovenia","65 years or over","Total","Number",":",""
"1980","Slovakia","Total","Total","Number","4 963 301",""
"1980","Slovakia","Less than 15 years","Total","Number","1 296 182",""
"1980","Slovakia","65 years or over","Total","Number","523 883",""
"1980","Finland","Total","Total","Number","4 771 292",""
"1980","Finland","Less than 15 years","Total","Number","976 009",""
"1980","Finland","65 years or over","Total","Number","567 578",""
"1980","Sweden","Total","Total","Number","8 303 094",""
"1980","Sweden","Less than 15 years","Total","Number","1 641 354",""
"1980","Sweden","65 years or over","Total","Number","1 345 399",""
"1980","Iceland","Total","Total","Number","226 948",""
"1980","Iceland","Less than 15 years","Total","Number","62 833",""
"1980","Iceland","65 years or over","Total","Number","22 303",""
"1980","Liechtenstein","Total","Total","Number","25 809",""
"1980","Liechtenstein","Less than 15 years","Total","Number","5 849",""
"1980","Liechtenstein","65 years or over","Total","Number","2 279",""
"1980","Norway","Total","Total","Number","4 078 900",""
"1980","Norway","Less than 15 years","Total","Number","912 487",""
"1980","Norway","65 years or over","Total","Number","598 048",""
"1980","Switzerland","Total","Total","Number","6 303 573",""
"1980","Switzerland","Less than 15 years","Total","Number","1 260 751",""
"1980","Switzerland","65 years or over","Total","Number","870 982",""
"1980","United Kingdom","Total","Total","Number","56 284 863",""
"1980","United Kingdom","Less than 15 years","Total","Number","11 948 082",""
"1980","United Kingdom","65 years or over","Total","Number","8 370 330",""
"1980","Montenegro","Total","Total","Number",":",""
"1980","Montenegro","Less than 15 years","Total","Number",":",""
"1980","Montenegro","65 years or over","Total","Number",":",""
"1980","North Macedonia","Total","Total","Number","1 878 067",""
"1980","North Macedonia","Less than 15 years","Total","Number",":",""
"1980","North Macedonia","65 years or over","Total","Number",":",""
"1980","Albania","Total","Total","Number","2 645 198",""
